ID;Javascript, Typescript;"Angular
";"MFE (micro frontend)
";HTML, CSS;Configuração e mudança;Disciplinas de Suporte ao Desenvolvimento;Ciclo de vida de software (build, teste e deploy);C++, C# e .NET;"COBOL
";"ABAP E/OU SAP FIORI
";"SAP - FUNCIONAL
";JAVA;Desenvolvimento Android;"Desenvolvimento IOS
";"Desenvolvimento Flutter
";Outras tecnologias cross plataform - Mobile ;Planejamento e produção de sistemas, serviços, produtos, sites e softwares;"Projeto de arquiteturas de integração e segurança
";"Revisão de arquiteturas, diagnosticar problemas e otimizar soluções
";Elaboração de diagramas e fluxos utilizando notação BPMN, UML e Archimate e C4 Model;Definição de soluções de TI a partir de necessidades de negócio e jornadas do cliente;Definição da estrutura e o design dos sistemas de software, levando em consideração os requisitos de negócios, as restrições técnicas e as metas de desempenho;"Prática em implementação eficiente e correta das soluções arquiteturais
";"Revisões e verificações técnicas quanto a conformidade com os padrões e diretrizes de arquitetura de solução
";Avaliação de novas tecnologias e ferramentas que possam melhorar a arquitetura e o desempenho dos sistemas existentes;Testes de Software Funcionais (Metodologia, técnicas, ferramentas);"Geração de massa de dados para testes (Criação, manutenção e reuso)
";"Modelagem de dados (Banco de Dados, SQL)
";Testes de Performance;Automação de Testes com uso de técnicas de mercado (BDD, TDD);Ferramentas de segurança de aplicações como SAST, DAST e SCA;"Gestão de vulnerabilidades visando mitigiar risco de exploração das falhas de segurança
";Estratégias de segurança para aplicações no ciclo DevSecOps;Segurança de software e desenvolvimento seguro ;Arquitetura e Design Seguro de SW;Boas práticas de arquitetura de nuvem;"Definição de arquitetura utilizando a Azure Cloud
";"Gestão Financeira da Nuvem (FinOps)
";DevSecOps e SRE (Site Reliability Engineering);Definição de arquitetura utilizando Container e Kubernetes;"Configuração e mudança - DevSecOps 
";"Integração contínua, entrega contínua e pipelines
";Ferramentas de automação (Ansible, Terraform, bash/shell script);Construção e manutenção dos modelos conceituais, lógicos e físicos de dados;Metadados e Glossários de Termos e Naturezas;Conhecimento em linguagem SQL;"Experiência em algum sistema gerenciador de banco de dados e seus utilitários
";"Elaboração de soluções quanto a implementação com utilização de um SGBD
";Análise de performance em SGBD;Modelagem multidimensional;Análise de dados de maneira crítica com identificação de padrões e tendências importantes;"Visualizações de dados, com visão crítica e domínio técnico, para subsidiar as tomadas de decisões
";Preparação de dados para análise  (manipulação e limpeza de dados);Processo de pesquisa e validação de hipóteses e comunicação de conclusão e cenário de dados;"Estatística e modelagem matemática
";Elaboração de modelos preditivos;Construção de Machine learning;"Manipulação, integração e transformação de dados
";Data pipelines;Gestão e governança de dados;"Inteligência de Dados
";Ágil Escalado;"Gestão Lean e Liderança Ágil
";Métricas Ágeis;Técnicas de facilitação;Métodos ágeis;Gestão de fluxo;Engenharia de software;Engenharia de Software - Ciclo de vida;"Configuração e mudança - Básico
";Gestão de Produto e de Backlog;Fundamentos de Design ;"Pesquisa com usuários
";"Ferramentas de prototipação (ex: Figma)
";Validação com o usuário;Métricas em UX ;Regulamento de Licitações e Contratos - RLC - Lei 13.303/2016;Políticas de relacionamento com fornecedores ;Elaboração de textos, pareceres técnicos, votos e normas internas;Ferramentas de gestão de contratos e faturamento no âmbito da TI;Procedimentos e fluxos de notificação , ressarcimento e multas de contratos;"Liderança e Management 3.0
";Gestão de Times e Pessoas;Governança Corporativa e Compliance ;Desenvolvimento de Competências;Gestão de Serviços, Projetos. Processos e Recursos de TI.;Ferramentas de Gestão - contexto Soluções de TI;Gestão Administrativa;Soluções de Acessibilidade
193;1;1;0;1;1;2;1;1;3;0;0;1;0;0;0;0;1;1;2;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;1;2;2;2;1;2;0;1;2;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
194;3;3;3;3;3;3;3;1;1;1;1;3;2;2;1;0;3;3;0;2;2;2;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;3;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
195;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
196;1;1;1;1;2;2;1;1;2;0;0;1;0;0;0;0;2;1;1;0;1;1;1;1;1;1;1;2;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1;1;1;1;2;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;2;1;1;1;0;1;1;2;0;0
197;1;1;0;1;1;2;2;2;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;2;1;2;2;2;1;1;2;2;2;2;1;1;0;1;1;0;1;0;2;2;2;2;2;2;2;2;2;0;0;1;1;1;0;0;0;2;0;0;1;1;0;2;2;0;0
198;1;1;1;2;2;2;2;1;2;0;0;2;1;1;0;1;1;1;1;1;1;1;0;0;0;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;1;1;1;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;2;2;2;1;0;0;0;0;0;0;2;0;2;2;2;2;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;0;0
200;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;2;1;3;0;0;0;0;0;0;0;0;1;1;2;2;1;2;2;0;0;0
201;1;1;0;1;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0
202;2;2;2;2;2;1;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
203;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;0;0;1;1;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;0;3;0;3;1;0;0;0;0;0;3;1;0;3;3;1;0;0
204;1;1;1;1;1;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
205;1;1;1;1;2;1;2;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;1;0;0;1;1;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;2;0;0;0;0;3;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
209;3;1;1;3;1;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;2;1;1;0;1;3;3;3;3;2;0;0;0;0;0;0;1;0;1;1;2;0;1
210;2;1;1;3;2;2;2;3;1;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;2;2;1;2;2;3;3;2;2;1;1;2;3;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;2;2;0;2;2;2;2;1;0;0;0;2;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
212;0;0;0;0;1;2;2;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;1;0;0
213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
214;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;2;1;1;2;0;2;0;1;1;1;1;1;1;2;2;0;1;1;1;1;1;1;1;1
215;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;0;2;0;2;2;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
216;3;2;2;3;2;2;2;3;1;3;1;3;2;1;2;3;3;3;3;2;3;3;3;3;2;2;2;1;2;2;2;2;2;3;2;3;3;2;3;2;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;3;2;2;0
217;1;1;1;1;1;2;2;2;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0;1;0;0;2;2;1;0;0;0;0;0;0;2;2;1;2;0;2;2;0;2;2;3;2;2;1;1;2;3;3;3;2;2;1;3;3;1;2;1;3;2;3;3;2;2;2;2;3;1;1;2;1;0;0;0;0;2;0;2;1;1;1;3;3;0;0
218;1;1;1;2;2;3;3;1;1;0;0;2;1;0;0;0;2;1;1;2;3;3;3;3;2;3;2;1;2;1;0;0;0;1;0;1;1;1;0;0;2;1;0;1;2;2;1;1;1;1;2;2;2;2;2;2;1;1;1;2;1;2;2;2;1;3;3;3;3;3;3;1;1;1;1;1;2;2;2;2;1;1;1;1;0;1;1;0;0
219;0;0;0;1;2;2;2;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
220;0;0;0;0;1;2;2;1;3;0;0;1;0;0;0;0;2;0;1;1;1;1;0;1;0;1;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;2;1;1;1;1;1;1;2;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;0;0;0;1;2;2;1;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;1;2;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;0;0;0;0;3;3;3;0;3;2;0;0;0;0;0;0;3;3;3;1;3;3;2;3;3;2;2;3;3;0;1;0;1;0;1;0;0;0;0;0;0;0;0;3;3;3;3;3;3;0;0;1;1;0;1;0;0;0;0;0;1;0;2;2;2;3;3;3;3;3;3;0;0;0;0;0;3;3;3;3;3;0;0;0;0;3;2;1;0
223;1;1;1;1;3;3;3;2;2;1;0;3;1;0;1;0;3;2;3;2;2;3;2;3;2;2;2;3;2;2;2;1;1;1;1;1;1;0;0;2;1;2;2;3;2;2;2;2;1;3;0;0;0;0;0;0;0;2;1;0;0;1;1;1;0;1;1;2;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;1;1;1;1;2;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;2;0;0
225;1;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;1;1
226;1;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;1;1;2;2;1;0;0;0;2;3;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
227;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;3;1;0;3;2;3;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;0;0;0;0;0;0;0;0;2;0;3;3;3;3;2;3;0;0
228;1;0;0;1;2;2;2;1;2;0;0;2;1;0;0;0;1;2;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;1;1;0;1;3;3;3;1;3;0;0;1;0;0;0;0;2;1;1;1;1;1;0;1;1;2;3;1;2;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;1;1;2;1;0;2;2;1;1;1;0;1;1;1;1;1;2;1;1;2;1;2;1;2;2;0;1;0;1;1;1;1;1;1;1;2;2;2;2;2;2;1;0
232;1;1;0;1;2;2;1;0;0;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;0;1;1;0;1;0;0;2;2;2;2;2;2;2;0
233;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;3;3;3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0
235;1;0;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;1;2;2;1;2;2;2;0
236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
237;2;2;2;3;2;2;2;3;1;1;1;3;1;1;1;1;2;2;2;2;2;2;3;3;2;1;3;3;2;3;2;1;1;2;2;3;2;2;1;1;1;3;2;3;1;3;2;1;1;2;2;2;2;0;2;1;1;3;2;1;2;1;2;1;1;3;3;3;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;0;3;2;2;2;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
239;0;0;0;1;2;2;2;0;2;0;0;1;0;0;0;0;2;0;1;1;1;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
241;0;1;0;1;2;2;2;0;2;0;0;0;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
242;2;2;1;2;3;3;3;0;1;0;0;3;1;0;0;0;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;0;2;2;2;2;0;1;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;2;1;2;2;2;3;2;3;1;1;0;0;1;1;0;0;0;0;0;1;1;2;2;0;2;0;0
243;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
244;1;0;0;2;0;3;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;2;0;1;1;0;1;1;0;0;0;0;0;1;2;2;2;3;2;3;3;2;3;1;1;1;1;2;3;2;2;3;2;2;2;2;2;2;2;2;0
245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0
246;1;1;0;1;2;2;2;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;1;0;2;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;1;1;2;1;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;1;2;2;2;2;2;2;1;1
247;2;2;1;2;2;2;1;1;0;1;1;3;1;0;0;0;0;2;2;1;2;2;2;1;1;1;2;2;1;1;0;1;1;2;2;0;0;0;0;1;2;1;1;2;1;2;1;1;1;1;2;1;1;0;2;1;1;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;2;1;0;1;0;2;1;0;0;0;0;0;1;1;1;2;1;2;0;0
249;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;2;1;2;2;2;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;0;0
250;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;2;2;1;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;0;1;0;1;1;0;1;1;1;0;1;0;0
251;1;1;0;1;1;1;3;1;1;0;0;2;0;0;0;0;2;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;2;2;1;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;1;1;2;3;2;3;1;0;0;0;0;1;1;1;2;2;2;2;3;3;2;3;3;0
252;1;1;1;1;2;3;3;1;1;0;2;1;0;0;0;0;2;1;3;2;3;3;2;2;1;3;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;3;2;2;2;2;2;2;1;1;1;1;2;1;2;1;0;2;1;2;3;2;3;0;0;0;0;0;0;0;0;1;1;1;1;1;2;3;3;3;1;3;1;0
253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
254;2;1;2;2;1;2;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
255;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
256;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;3;2;3;3;2;2;1;2;2;0;0;1;0;0;1;0;0;1;0;1;0;0;1;2;2;0;0
257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
258;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;2;1;1;1;0
259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;3;3;3;3;3;2;3;1;1;1;1;1;0;0;0;0;0;2;3;2;2;3;2;1;0
